Epoch,Train Loss,Dice,IoU,Precision,Recall,Accuracy,Specificity,TP,FP,FN,TN,Time (s)
1,0.38353222908087115,0.009463803084687443,0.004754398889783204,0.005523487261145947,0.033018026057449565,0.9947082064045004,0.9954450663607217,555.0,99925.0,16254.0,21837826.0,95.61
2,0.20150428713366414,0.0001188212927755948,5.9414176222411376e-05,0.04347826085066162,5.9491938842251476e-05,0.9992334166569491,0.9999989971624706,1.0,22.0,16808.0,21937729.0,94.15
3,0.11478641521890759,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,98.58
4,0.06864420420660246,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,95.53
5,0.04330437967999896,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,95.43
6,0.028673715096971697,0.010601331056004122,0.00532891230978428,0.5294117646747405,0.0053542744958026325,0.9992348286642952,0.9999963533180767,90.0,80.0,16719.0,21937671.0,97.97
7,0.019817707495423817,0.20671414038646657,0.11527115951888173,0.7127323746029017,0.120887619727455,0.999289623659048,0.9999626670938142,2032.0,819.0,14777.0,21936932.0,102.29
8,0.014090230454452074,0.3357838104232881,0.20176694141444065,0.5421750663122783,0.24320304598712403,0.9992633421029612,0.9998426456750279,4088.0,3452.0,12721.0,21934299.0,98.89
9,0.010296938061040251,0.35828910790991964,0.21824129305360082,0.38196268606426753,0.3373787851744081,0.9990747252506991,0.9995817255834469,5671.0,9176.0,11138.0,21928575.0,95.51
10,0.007796146819552085,0.4006983538799969,0.2505458272065898,0.49951141511903746,0.33452317210998006,0.9992338721431898,0.9997431824255818,5623.0,5634.0,11186.0,21932117.0,95.59
11,0.006117088089570703,0.4155948284500666,0.2623033778938716,0.4739408716851006,0.37003985959880414,0.9992032179191926,0.9996852913500563,6220.0,6904.0,10589.0,21930847.0,95.5
12,0.004997635528545084,0.4642382345119215,0.30228531855940727,0.6420466484548832,0.36355523826499875,0.9993575366575321,0.9998446969336096,6111.0,3407.0,10698.0,21934344.0,96.01
13,0.004088349191088173,0.4749411368985957,0.311424790471852,0.5463973376669403,0.4200130882262954,0.9992889859783111,0.9997328349656256,7060.0,5861.0,9749.0,21931890.0,95.49
14,0.003468358896047164,0.548690030622474,0.3780653631545093,0.6408870519031548,0.47968350288507366,0.9993958430503727,0.9997940536384057,8063.0,4518.0,8746.0,21933233.0,95.59
15,0.0029658389798797656,0.49030976965826434,0.32477508286403706,0.7374268307242414,0.36724373847321834,0.9994154289587215,0.9998998074141688,6173.0,2198.0,10636.0,21935553.0,95.59
16,0.0026043958216476594,0.5375804284803304,0.3675965768987247,0.6624553454729786,0.45231721101763794,0.999404223997201,0.9998234094278848,7603.0,3874.0,9206.0,21933877.0,95.37
17,0.0025773286561862297,0.5114373088683452,0.3435779439558125,0.5262098042914063,0.49747159259890683,0.9992723151819025,0.9996568016475339,8362.0,7529.0,8447.0,21930222.0,95.51
18,0.0023131626315915665,0.5600668823377704,0.38895340031282427,0.7198654457104093,0.45832589684070535,0.9994487250029146,0.9998633405949402,7704.0,2998.0,9105.0,21934753.0,98.71
19,0.0020525805513496188,0.5671347082051458,0.39580462410024203,0.7358383148299308,0.4613599857216602,0.9994607953882924,0.9998730954690838,7755.0,2784.0,9054.0,21934967.0,98.4
20,0.0019410615132683248,0.5695763072124949,0.398187131606123,0.7040021017596076,0.4782556963528596,0.9994465842175835,0.9998459276887585,8039.0,3380.0,8770.0,21934371.0,96.13
