Epoch,Train Loss,Dice,IoU,Precision,Recall,Accuracy,Specificity,TP,FP,FN,TN,Time (s)
1,0.2551172449810421,0.0,0.0,0.0,0.0,0.9989905969420471,0.9997560369793599,0.0,5352.0,16809.0,21932399.0,96.68
2,0.12146406205155742,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,96.64
3,0.06601405850107746,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,96.88
4,0.03907591569388731,0.0978412797017664,0.05143696930108239,0.3767942583717034,0.05621988220592764,0.999206224128381,0.9999287529519315,945.0,1563.0,15864.0,21936188.0,97.33
5,0.02476527803020561,0.1964230650631121,0.10890750555644331,0.7214043035080355,0.11368909512754256,0.9992878017140853,0.999966359359261,1911.0,738.0,14898.0,21937013.0,96.85
6,0.016497857988791748,0.36592702693125034,0.22393554814388011,0.45160726764460896,0.30757332381444014,0.9991839053025882,0.9997138266361028,5170.0,6278.0,11639.0,21931473.0,97.22
7,0.011512965648754857,0.3865375259827577,0.23957019900211635,0.7531885556691603,0.25997977274063894,0.9993681950355638,0.9999347243935802,4370.0,1432.0,12439.0,21936319.0,98.0
8,0.008467389191883043,0.42399113264073895,0.2690283928104876,0.6839735099328689,0.3072163721813866,0.9993609072557131,0.99989123771165,5164.0,2386.0,11645.0,21935365.0,105.16
9,0.00649162450995627,0.3967012053286544,0.24742811922962413,0.686073727324918,0.27901719317015944,0.9993502488776814,0.9999021777574186,4690.0,2146.0,12119.0,21935605.0,113.61
10,0.005153043610176424,0.4780867547436363,0.31413535313775615,0.6445005045402175,0.3799750133854602,0.9993648244373828,0.9998394092448214,6387.0,3523.0,10422.0,21934228.0,117.26
11,0.00425304986935864,0.4795658360632451,0.31541374657192556,0.5403430275909468,0.4310785888509542,0.9992836567892952,0.9997190231578428,7246.0,6164.0,9563.0,21931587.0,127.38
12,0.00352400948973669,0.3782429772766245,0.2332303618710099,0.762213809264896,0.2515319174250392,0.9993668741254659,0.9999398753317963,4228.0,1319.0,12581.0,21936432.0,167.05
13,0.002948918730064203,0.5095184362827104,0.3418481977140071,0.6563203300819052,0.41638407995691806,0.9993862322906945,0.9998329363844083,6999.0,3665.0,9810.0,21934086.0,114.84
14,0.002666283341536495,0.5251614299626546,0.3560806183346267,0.667063782990591,0.4330418228327485,0.9994004434614034,0.9998343950571774,7279.0,3633.0,9530.0,21934118.0,116.29
15,0.002320368125858456,0.5621491009876476,0.39096480822440144,0.6979617047554063,0.47058123624220916,0.9994387498542439,0.9998439675972249,7910.0,3423.0,8899.0,21934328.0,116.37
16,0.002141634251831109,0.5663204013848611,0.3950118296528021,0.6972940050459433,0.4767683978818033,0.9994409361881991,0.9998414149198789,8014.0,3479.0,8795.0,21934272.0,116.81
17,0.002002459462366256,0.530224225612422,0.36075177918438217,0.5154783976625004,0.5458385388776573,0.9992594704699156,0.9996068876887148,9175.0,8624.0,7634.0,21929127.0,116.52
18,0.0019365325428731116,0.5678501579657861,0.3965019171172874,0.771960323140636,0.4491046463201564,0.9994766463094678,0.9998983487413996,7549.0,2230.0,9260.0,21935521.0,116.2
19,0.001764215675751652,0.5219227602990365,0.35310925997658216,0.6550763701701212,0.4337557260988555,0.9993916070283344,0.999825004851226,7291.0,3839.0,9518.0,21933912.0,116.66
20,0.0016759597490443358,0.4927047379979241,0.3268800416339699,0.7230344192463185,0.3736688678681815,0.9994108740963148,0.9998903260411693,6281.0,2406.0,10528.0,21935345.0,117.7
21,0.001592552995414924,0.5508167282520459,0.3800876942139071,0.6564866644709775,0.4744482122669555,0.9994075490467579,0.9998097799541981,7975.0,4173.0,8834.0,21933578.0,116.79
22,0.0015241345796278573,0.5735362246532292,0.4020685520133896,0.7151617490217603,0.47873163186359763,0.9994549196157877,0.9998539048054648,8047.0,3205.0,8762.0,21934546.0,116.97
23,0.001491702654495698,0.5796352147060966,0.4080889787662244,0.7309607896398342,0.4802189303346539,0.9994667167094211,0.9998645713500891,8072.0,2971.0,8737.0,21934780.0,120.79
