Epoch,Train Loss,Dice,IoU,Precision,Recall,Accuracy,Specificity,TP,FP,FN,TN,Time (s)
1,0.2879629318338742,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,195.65
2,0.14169937967505286,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,186.56
3,0.0766834383409227,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,186.19
4,0.04411753128521406,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,186.43
5,0.02734144797339611,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,188.0
6,0.018192358113750442,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,187.2
7,0.012746377317687275,0.00011897679952402201,5.9491938842251476e-05,0.9999999900000002,5.9491938842251476e-05,0.9992344187266786,0.9999999999999994,1.0,0.0,16808.0,21937751.0,187.44
8,0.00920355627921658,0.0,0.0,0.0,0.0,0.9992343731780545,0.9999999999999994,0.0,0.0,16809.0,21937751.0,188.29
9,0.00690551689425031,0.05553674229593885,0.028561476837322325,0.5412541254065869,0.029270033910387724,0.9992377893248595,0.9999809916704766,492.0,417.0,16317.0,21937334.0,187.5
10,0.005481273752919568,0.3809602580536864,0.2353001277138006,0.6247965274001291,0.2740198703074103,0.9993181826463381,0.9998739159725164,4606.0,2766.0,12203.0,21934985.0,187.36
11,0.004518973994438523,0.32360789116822375,0.19303830497850274,0.6112029081285341,0.2200606817774882,0.999295681626049,0.9998927419679432,3699.0,2353.0,13110.0,21935398.0,187.5
12,0.0038676066144714303,0.0761707172495178,0.03959328300722046,0.2244541484709623,0.04586828484737589,0.9991481496326954,0.9998785654919681,771.0,2664.0,16038.0,21935087.0,190.24
13,0.0034466548391868996,0.25697201626392874,0.14742850869962817,0.6557617187483991,0.15979534773028747,0.9992924932223642,0.999935727231109,2686.0,1410.0,14123.0,21936341.0,186.86
14,0.002999024348387298,0.14188447177677252,0.07635933806142059,0.920883820378326,0.07686358498418891,0.9992881661030778,0.9999949402288315,1292.0,111.0,15517.0,21937640.0,187.07
15,0.0026945746393595045,0.15208034433278692,0.0822981366459228,0.3086442220194565,0.1008983282764585,0.9991385844216413,0.9998268281921875,1696.0,3799.0,15113.0,21933952.0,191.12
16,0.0025745369428148653,0.3111593809393107,0.18424437299025495,0.6500283607474947,0.20453328573966056,0.9993066588444491,0.9999156248970092,3438.0,1851.0,13371.0,21935900.0,190.17
17,0.002513130712385291,0.29789403256115654,0.1750149745432109,0.3206887090133621,0.27812481408752565,0.9989962449714314,0.9995485863614729,4675.0,9903.0,12134.0,21927848.0,188.18
18,0.0023086707154425386,0.27214834238612967,0.15750677506769376,0.28630541871902376,0.2593253614133742,0.9989379882812495,0.9995046894278264,4359.0,10866.0,12450.0,21926885.0,194.5
19,0.0022267993414332664,0.15371146846051065,0.0832543049662674,0.3408255006122991,0.09923255398887545,0.9991634084217579,0.99985294755146,1668.0,3226.0,15141.0,21934525.0,190.77
20,0.002149490858991732,0.15867279894866476,0.08617305976801298,0.9958762886529494,0.08620381938242239,0.9993000998425835,0.9999997264988553,1449.0,6.0,15360.0,21937745.0,189.18
21,0.0021163157114862047,0.306444605358288,0.1809474944414908,0.8125960061423129,0.1888274138853062,0.9993456029180265,0.9999666328604053,3174.0,732.0,13635.0,21937019.0,188.11
22,0.002056863110008321,0.33556921930299255,0.20161200044766506,0.7731272805306436,0.2142899637097898,0.9993502944263054,0.9999518182150936,3602.0,1057.0,13207.0,21936694.0,186.98
23,0.0020446740907411774,0.19774616286767743,0.10972159348115113,0.6920057102045254,0.11535486941512561,0.9992833834975507,0.9999606614187566,1939.0,863.0,14870.0,21936888.0,192.58
24,0.0019333405118957053,0.16332091196852053,0.08892185522924695,0.2501227295038658,0.12124457136050851,0.999048899180853,0.9997214846681407,2038.0,6110.0,14771.0,21931641.0,188.75
25,0.002054774516893526,0.3297929094522868,0.1974562982750465,0.8923884514412274,0.20227259206365503,0.9993705635640153,0.9999813107551448,3400.0,410.0,13409.0,21937341.0,187.0
26,0.001896326879837544,0.2790615472980696,0.16215661103971135,0.5422390109880799,0.18787554286383015,0.9992567831010956,0.99987847432492,3158.0,2666.0,13651.0,21935085.0,186.54
27,0.0019053597360755,0.1360353130015369,0.0729817007534591,0.4336424688185685,0.080671069070093,0.9992154704990667,0.9999192715789321,1356.0,1771.0,15453.0,21935980.0,185.37
28,0.001898299890837347,0.4196516845385886,0.26554379210766815,0.5815154389286736,0.32827651853154366,0.9993048368994865,0.9998189878260533,5518.0,3971.0,11291.0,21933780.0,186.45
29,0.0018453893731637792,0.2235607087284929,0.12584764918618566,0.715157353883381,0.13248854780169403,0.9992954083343045,0.9999595674141797,2227.0,887.0,14582.0,21936864.0,186.1
30,0.0017945197559337868,0.44293145654817817,0.28446497003032106,0.6202463845735187,0.34445832589663605,0.9993366298390853,0.9998384064072926,5790.0,3545.0,11019.0,21934206.0,185.9
